indicator,word,pos_tag
enforced social isolation,seclusion,NOUN
enforced social isolation,solitude,NOUN
harassment,harass,VERB
harassment,harassed,ADJ
harassment,harasser,NOUN
harassment,harassing,ADJ
harassment,harassment,NOUN
harassment,stalk,VERB
harassment,stalked,ADJ
harassment,stalker,NOUN
harassment,stalking,ADJ
harassment,stalking,NOUN
humiliation,abase,VERB
humiliation,abased,ADJ
humiliation,abasement,NOUN
humiliation,abasing,ADJ
humiliation,degradation,NOUN
humiliation,degrade,VERB
humiliation,degraded,ADJ
humiliation,degrading,ADJ
humiliation,demean,VERB
humiliation,demeaning,ADJ
humiliation,embarrass,VERB
humiliation,embarrassed,ADJ
humiliation,embarrassing,ADJ
humiliation,embarrassment,NOUN
humiliation,humiliate,VERB
humiliation,humiliated,ADJ
humiliation,humiliating,ADJ
humiliation,humiliation,NOUN
humiliation,mock,VERB
humiliation,mocked,ADJ
humiliation,mockery,NOUN
humiliation,mocking,ADJ
humiliation,ridicule,NOUN
humiliation,ridicule,VERB
humiliation,ridiculed,ADJ
humiliation,ridiculing,ADJ
humiliation,shame,NOUN
humiliation,shame,VERB
humiliation,shamed,ADJ
humiliation,shaming,ADJ
insomnia,fatigue,NOUN
insomnia,insomnia,NOUN
insomnia,insomniac,NOUN
insomnia,restlessness,NOUN
insomnia,sleepless,ADJ
insomnia,sleeplessness,NOUN
intimidation,intimidate,VERB
intimidation,intimidated,ADJ
intimidation,intimidating,ADJ
intimidation,intimidation,NOUN
intimidation,threat,NOUN
intimidation,threaten,VERB
intimidation,threatened,ADJ
intimidation,threatening,ADJ
low self-esteem,ashamed,ADJ
low self-esteem,guilt,NOUN
low self-esteem,insecure,ADJ
low self-esteem,insecurity,NOUN
low self-esteem,shame,NOUN
low self-esteem,worthless,ADJ
low self-esteem,worthlessness,NOUN
mental mistreatment,brainwash,NOUN
mental mistreatment,brainwash,VERB
mental mistreatment,brainwashed,ADJ
mental mistreatment,brainwashing,NOUN
mental mistreatment,deceive,VERB
mental mistreatment,deceived,ADJ
mental mistreatment,deceiving,ADJ
mental mistreatment,deception,NOUN
mental mistreatment,deception,NOUN
mental mistreatment,gaslight,VERB
mental mistreatment,gaslighted,ADJ
mental mistreatment,gaslighting,ADJ
mental mistreatment,gaslighting,NOUN
mental mistreatment,invalidate,VERB
mental mistreatment,invalidated,ADJ
mental mistreatment,invalidating,ADJ
mental mistreatment,invalidation,NOUN
mental mistreatment,manipulate,VERB
mental mistreatment,manipulated,ADJ
mental mistreatment,manipulating,ADJ
mental mistreatment,manipulation,ADJ
mental mistreatment,mental,ADJ
mental mistreatment,mistreatment,NOUN
mental mistreatment,psychological,ADJ
mental mistreatment,toxic,ADJ
nervousness around certain people,anxiety,NOUN
nervousness around certain people,anxious,ADJ
nervousness around certain people,nervous,ADJ
nervousness around certain people,nervousness,NOUN
nervousness around certain people,scared,ADJ
nervousness around certain people,tense,ADJ
nervousness around certain people,terrified,ADJ
not respecting privacy,eavesdrop,VERB
not respecting privacy,eavesdropping,NOUN
not respecting privacy,infringe,VERB
not respecting privacy,infringement,NOUN
not respecting privacy,infringer,NOUN
not respecting privacy,infringing,ADJ
not respecting privacy,privacy,NOUN
not respecting privacy,snoop,NOUN
not respecting privacy,snoop,VERB
signs of distress,distress,NOUN
signs of distress,distress,VERB
signs of distress,distressed,ADJ
signs of distress,distressing,ADJ
signs of distress,panic,ADJ
signs of distress,panic,NOUN
signs of distress,panic,VERB
signs of distress,panicked,ADJ
signs of distress,stress,NOUN
signs of distress,stress,VERB
signs of distress,stressed,ADJ
signs of distress,stressful,ADJ
signs of distress,stressing,ADJ
swearing,curse,VERB
swearing,denigrate,VERB
swearing,denigrated,ADJ
swearing,denigrating,ADJ
swearing,denigration,NOUN
swearing,insult,NOUN
swearing,insult,VERB
swearing,slander,NOUN
swearing,slander,VERB
swearing,slandered,ADJ
swearing,slandering,ADJ
swearing,swear,VERB
swearing,swearing,NOUN
tearfulness,bawl,VERB
tearfulness,bawling,ADJ
tearfulness,cry,VERB
tearfulness,crybaby,NOUN
tearfulness,snivel,VERB
tearfulness,sniveling,ADJ
tearfulness,sob,VERB
tearfulness,sobbing,ADJ
tearfulness,tear,NOUN
tearfulness,tearful,ADJ
tearfulness,tearfulness,NOUN
tearfulness,teary,ADJ
tearfulness,weep,VERB
tearfulness,weeping,ADJ
tearfulness,whimper,VERB
tearfulness,whimpering,ADJ
threats of abandonment,abandon,VERB
threats of abandonment,abandoned,ADJ
threats of abandonment,abandoning,ADJ
threats of abandonment,abandonment,NOUN
threats of abandonment,ditch,VERB
threats of abandonment,leave,VERB
threats of abandonment,threat,NOUN
threats of abandonment,threaten,VERB
threats of abandonment,ultimatum,NOUN
threats of harm,harm,NOUN
threats of harm,harm,VERB
threats of harm,hurt,VERB
threats of harm,hurting,ADJ
threats of harm,punish,VERB
threats of harm,punished,ADJ
threats of harm,punishment,NOUN
threats of harm,threat,NOUN
threats of harm,threaten,VERB
uncooperative behaviour,uncooperative,ADJ
"unusual behavior usually attributed to dementia (e.g., sucking, biting, rocking)",agitated,ADJ
"unusual behavior usually attributed to dementia (e.g., sucking, biting, rocking)",confused,ADJ
"unusual behavior usually attributed to dementia (e.g., sucking, biting, rocking)",disoriented,ADJ
"unusual behavior usually attributed to dementia (e.g., sucking, biting, rocking)",restless,ADJ
use of threats,blackmail,NOUN
use of threats,blackmail,VERB
use of threats,blackmailed,ADJ
use of threats,blackmailing,ADJ
use of threats,coerce,VERB
use of threats,coerced,ADJ
use of threats,coercing,ADJ
use of threats,coercion,NOUN
use of threats,coercive,ADJ
use of threats,intimidate,VERB
use of threats,intimidated,ADJ
use of threats,intimidating,ADJ
use of threats,intimidation,NOUN
use of threats,threat,NOUN
use of threats,threaten,VERB
use of threats,threatened,ADJ
use of threats,threatening,ADJ
use of threats,ultimatum,NOUN
verbal abuse,accusation,NOUN
verbal abuse,accuse,VERB
verbal abuse,accused,ADJ
verbal abuse,accusing,ADJ
verbal abuse,belittle,VERB
verbal abuse,belittled,ADJ
verbal abuse,belittlement,NOUN
verbal abuse,belittling,ADJ
verbal abuse,berate,VERB
verbal abuse,berated,ADJ
verbal abuse,berating,ADJ
verbal abuse,blame,NOUN
verbal abuse,blame,VERB
verbal abuse,blamed,ADJ
verbal abuse,blaming,ADJ
verbal abuse,coerce,VERB
verbal abuse,coerced,ADJ
verbal abuse,coercing,ADJ
verbal abuse,coercion,NOUN
verbal abuse,coercive,ADJ
verbal abuse,degradation,NOUN
verbal abuse,degrade,VERB
verbal abuse,degraded,ADJ
verbal abuse,degrading,ADJ
verbal abuse,disparaging,ADJ
verbal abuse,harass,VERB
verbal abuse,harassed,ADJ
verbal abuse,harassing,ADJ
verbal abuse,harassment,NOUN
verbal abuse,humiliate,VERB
verbal abuse,humiliated,ADJ
verbal abuse,humiliating,ADJ
verbal abuse,humiliation,NOUN
verbal abuse,insult,NOUN
verbal abuse,insult,VERB
verbal abuse,insulted,ADJ
verbal abuse,insulting,ADJ
verbal abuse,mock,VERB
verbal abuse,mocked,ADJ
verbal abuse,mockery,NOUN
verbal abuse,mocking,ADJ
verbal abuse,ridicule,NOUN
verbal abuse,ridicule,VERB
verbal abuse,ridiculed,ADJ
verbal abuse,ridiculing,ADJ
verbal abuse,scapegoat,NOUN
verbal abuse,scapegoat,VERB
verbal abuse,scold,VERB
verbal abuse,scolded,ADJ
verbal abuse,scolding,ADJ
verbal abuse,scolding,NOUN
verbal abuse,scream,NOUN
verbal abuse,scream,VERB
verbal abuse,screamed,ADJ
verbal abuse,screaming,ADJ
verbal abuse,shame,NOUN
verbal abuse,shame,VERB
verbal abuse,shamed,ADJ
verbal abuse,shaming,ADJ
verbal abuse,shaming,NOUN
verbal abuse,slander,NOUN
verbal abuse,slander,VERB
verbal abuse,slandered,ADJ
verbal abuse,slandering,ADJ
verbal abuse,swear,VERB
verbal abuse,swearing,NOUN
verbal abuse,verbal,ADJ
verbal abuse,yell,VERB
verbal abuse,yelled,ADJ
verbal abuse,yelling,ADJ
verbal abuse,yelling,NOUN
weight gain or weight loss,anorexia,NOUN
weight gain or weight loss,anorexic,ADJ
weight gain or weight loss,overweight,ADJ
weight gain or weight loss,overweight,NOUN
weight gain or weight loss,underweight,ADJ
weight gain or weight loss,underweight,NOUN
